sgbid	sgbname	tax_k	tax_p	tax_c	tax_o	tax_f	tax_g	tax_s	terminal_sgb	is_human_pathogen	assigned_pathogen_name	assigned_pathogen_taxid
10066	SGB10066	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_fergusonii	t__SGB10066	yes	Escherichia fergusonii	564
10067	SGB10067	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_coli	t__SGB10067	no	NA	NA
10068	SGB10068	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_coli	t__SGB10068	yes	Escherichia coli	562
10070	SGB10070	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_coli	t__SGB10070	no	NA	NA
10071	SGB10071	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella_bongori	t__SGB10071	yes	Salmonella bongori	54736
10072	SGB10072	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella_enterica	t__SGB10072	no	NA	NA
10073	SGB10073	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella_enterica	t__SGB10073	yes	Salmonella enterica	28901
10074	SGB10074	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_amalonaticus	t__SGB10074	yes	Citrobacter amalonaticus	35703
10075	SGB10075	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_farmeri	t__SGB10075	yes	Citrobacter farmeri	67824
10076	SGB10076	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_amalonaticus	t__SGB10076	no	NA	NA
10077	SGB10077	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_rodentium	t__SGB10077	no	NA	NA
10078	SGB10078	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_sp_50677481	t__SGB10078	no	NA	NA
10079	SGB10079	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_koseri	t__SGB10079	yes	Citrobacter koseri	545
10080	SGB10080	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_werkmanii	t__SGB10080	no	NA	NA
10081	SGB10081	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_youngae	t__SGB10081	no	NA	NA
10082	SGB10082	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_freundii	t__SGB10082	no	NA	NA
10083	SGB10083	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_freundii	t__SGB10083	yes	Citrobacter freundii	546
10084	SGB10084	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_freundii	t__SGB10084	no	NA	NA
10085	SGB10085	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_freundii	t__SGB10085	no	NA	NA
10086	SGB10086	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_braakii	t__SGB10086	yes	Citrobacter braakii	57706
10087	SGB10087	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_sp	t__SGB10087	no	NA	NA
10088	SGB10088	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter_gillenii	t__SGB10088	no	NA	NA
10089	SGB10089	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter_condimenti	t__SGB10089	no	NA	NA
10090	SGB10090	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter_sakazakii	t__SGB10090	yes	Cronobacter sakazakii	28141
10091	SGB10091	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter_universalis	t__SGB10091	no	NA	NA
10092	SGB10092	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter_turicensis	t__SGB10092	yes	Cronobacter turicensis	413502
10093	SGB10093	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter_dublinensis	t__SGB10093	no	NA	NA
10094	SGB10094	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cronobacter	s__Cronobacter_muytjensii	t__SGB10094	yes	Cronobacter muytjensii	413501
10095	SGB10095	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Franconibacter	s__Franconibacter_pulveris	t__SGB10095	no	NA	NA
10097	SGB10097	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pseudescherichia	s__Pseudescherichia_vulneris	t__SGB10097	yes	Escherichia vulneris	566
10102	SGB10102	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_kobei	t__SGB10102	no	NA	NA
10104	SGB10104	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Yokenella	s__Yokenella_regensburgei	t__SGB10104	yes	Yokenella regensburgei	158877
10105	SGB10105	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Trabulsiella	s__Trabulsiella_odontotermitis	t__SGB10105	no	NA	NA
10106	SGB10106	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Trabulsiella	s__Trabulsiella_guamensis	t__SGB10106	no	NA	NA
10107	SGB10107	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kluyvera	s__Kluyvera_ascorbata	t__SGB10107	yes	Kluyvera ascorbata	51288
10108	SGB10108	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kluyvera	s__Kluyvera_georgiana	t__SGB10108	yes	Kluyvera georgiana	73098
10109	SGB10109	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kluyvera	s__Kluyvera_georgiana	t__SGB10109	no	NA	NA
10110	SGB10110	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacteriaceae_unclassified	s__Enterobacteriaceae_bacterium_strain_FGI_57	t__SGB10110	no	NA	NA
10111	SGB10111	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pluralibacter	s__Pluralibacter_gergoviae	t__SGB10111	yes	Pluralibacter gergoviae	61647
10112	SGB10112	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_quasipneumoniae	t__SGB10112	no	NA	NA
10113	SGB10113	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_quasivariicola	t__SGB10113	no	NA	NA
10114	SGB10114	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_variicola	t__SGB10114	no	NA	NA
10115	SGB10115	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_pneumoniae	t__SGB10115	yes	Klebsiella pneumoniae	573
10116	SGB10116	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_aerogenes	t__SGB10116	yes	Enterobacter aerogenes	548
10117	SGB10117	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_SGB10117	t__SGB10117	no	NA	NA
10118	SGB10118	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_oxytoca	t__SGB10118	yes	Klebsiella oxytoca	571
10119	SGB10119	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_michiganensis	t__SGB10119	no	NA	NA
10120	SGB10120	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_michiganensis	t__SGB10120	no	NA	NA
10122	SGB10122	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Raoultella	s__Raoultella_terrigena	t__SGB10122	no	NA	NA
10123	SGB10123	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_sp_10_1	t__SGB10123	no	NA	NA
10124	SGB10124	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Raoultella	s__Raoultella_ornithinolytica	t__SGB10124	yes	Raoultella ornithinolytica	54291
10125	SGB10125	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Raoultella	s__Raoultella_sp_T31	t__SGB10125	no	NA	NA
10126	SGB10126	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_soli	t__SGB10126	no	NA	NA
10127	SGB10127	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_ludwigii	t__SGB10127	yes	Enterobacter ludwigii	299767
10128	SGB10128	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cancerogenus	t__SGB10128	yes	Enterobacter cancerogenus	69218
10129	SGB10129	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cloacae	t__SGB10129	no	NA	NA
10130	SGB10130	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_hormaechei	t__SGB10130	yes	Enterobacter hormaechei	158836
10131	SGB10131	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cloacae	t__SGB10131	yes	Enterobacter cloacae	550
10132	SGB10132	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_mori	t__SGB10132	no	NA	NA
10133	SGB10133	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_kobei	t__SGB10133	yes	Enterobacter kobei	208224
10134	SGB10134	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cloacae	t__SGB10134	no	NA	NA
10135	SGB10135	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_bugandensis	t__SGB10135	no	NA	NA
10136	SGB10136	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cancerogenus	t__SGB10136	no	NA	NA
10137	SGB10137	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cloacae_complex_sp_GN04363	t__SGB10137	no	NA	NA
10138	SGB10138	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cloacae	t__SGB10138	no	NA	NA
10139	SGB10139	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cloacae	t__SGB10139	no	NA	NA
10140	SGB10140	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_cloacae	t__SGB10140	no	NA	NA
10141	SGB10141	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_asburiae	t__SGB10141	yes	Enterobacter asburiae	61645
10142	SGB10142	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Lelliottia	s__Lelliottia_amnigena	t__SGB10142	no	NA	NA
10143	SGB10143	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_sp	t__SGB10143	no	NA	NA
10144	SGB10144	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Lelliottia	s__Lelliottia_sp_WB101	t__SGB10144	yes	Cedecea lapagei	158823
10145	SGB10145	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Lelliottia	s__Lelliottia_aquatilis	t__SGB10145	no	NA	NA
10146	SGB10146	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Lelliottia	s__Lelliottia_amnigena	t__SGB10146	no	NA	NA
10147	SGB10147	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Leclercia	s__Leclercia_adecarboxylata	t__SGB10147	yes	Leclercia adecarboxylata	83655
10150	SGB10150	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacteriaceae_unclassified	s__Enterobacteriaceae_bacterium_w17	t__SGB10150	no	NA	NA
10152	SGB10152	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacteriaceae_unclassified	s__Enterobacteriaceae_bacterium_ATCC_29904	t__SGB10152	no	NA	NA
10154	SGB10154	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pluralibacter	s__Enterobacter_lignolyticus	t__SGB10154	no	NA	NA
10155	SGB10155	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_sp_CC120223_11	t__SGB10155	no	NA	NA
10157	SGB10157	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_sp_OLTSP20	t__SGB10157	no	NA	NA
10158	SGB10158	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Izhakiella	s__Izhakiella_australiensis	t__SGB10158	no	NA	NA
10159	SGB10159	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_sp_PSNIH2	t__SGB10159	no	NA	NA
10160	SGB10160	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_gaviniae	t__SGB10160	no	NA	NA
10161	SGB10161	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_alhagi	t__SGB10161	no	NA	NA
10162	SGB10162	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_theicola	t__SGB10162	no	NA	NA
10165	SGB10165	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_septica	t__SGB10165	no	NA	NA
10166	SGB10166	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_latae	t__SGB10166	no	NA	NA
10168	SGB10168	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_sp_Ae16	t__SGB10168	no	NA	NA
10169	SGB10169	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_sp_At_9b	t__SGB10169	no	NA	NA
10170	SGB10170	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_sp_AS_PWVM4	t__SGB10170	no	NA	NA
10171	SGB10171	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_cypripedii	t__SGB10171	no	NA	NA
10172	SGB10172	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_dispersa	t__SGB10172	no	NA	NA
10173	SGB10173	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_wallisii	t__SGB10173	no	NA	NA
10174	SGB10174	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacteriaceae_unclassified	s__Enterobacteriaceae_bacterium_JKS000233	t__SGB10174	no	NA	NA
10175	SGB10175	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_sp_GM01	t__SGB10175	no	NA	NA
10176	SGB10176	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_ludwigii	t__SGB10176	no	NA	NA
10177	SGB10177	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_sp_596	t__SGB10177	no	NA	NA
10178	SGB10178	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_vagans	t__SGB10178	no	NA	NA
10179	SGB10179	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_rodasii	t__SGB10179	no	NA	NA
10180	SGB10180	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_rwandensis	t__SGB10180	no	NA	NA
10181	SGB10181	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_sp_GL120224_02	t__SGB10181	no	NA	NA
10182	SGB10182	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_rwandensis	t__SGB10182	no	NA	NA
10183	SGB10183	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_brenneri	t__SGB10183	no	NA	NA
10184	SGB10184	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_conspicua	t__SGB10184	no	NA	NA
10185	SGB10185	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacteriaceae_unclassified	s__Type-F_symbiont_of_Plautia_stali	t__SGB10185	no	NA	NA
10186	SGB10186	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_vagans	t__SGB10186	no	NA	NA
10187	SGB10187	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_agglomerans	t__SGB10187	yes	Pantoea agglomerans	549
10188	SGB10188	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_agglomerans	t__SGB10188	no	NA	NA
10189	SGB10189	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_sp_OV426	t__SGB10189	no	NA	NA
10191	SGB10191	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_deleyi	t__SGB10191	no	NA	NA
10192	SGB10192	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_stewartii	t__SGB10192	no	NA	NA
10193	SGB10193	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_allii	t__SGB10193	no	NA	NA
10194	SGB10194	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Pantoea_ananatis	t__SGB10194	no	NA	NA
10195	SGB10195	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_gerundensis	t__SGB10195	no	NA	NA
10196	SGB10196	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_tracheiphila	t__SGB10196	no	NA	NA
10197	SGB10197	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_mallotivora	t__SGB10197	no	NA	NA
10198	SGB10198	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_billingiae	t__SGB10198	no	NA	NA
10199	SGB10199	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_typographi	t__SGB10199	no	NA	NA
10200	SGB10200	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_iniecta	t__SGB10200	no	NA	NA
10201	SGB10201	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_pyrifoliae	t__SGB10201	no	NA	NA
10202	SGB10202	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_amylovora	t__SGB10202	no	NA	NA
10203	SGB10203	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_tasmaniensis	t__SGB10203	no	NA	NA
10204	SGB10204	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_piriflorinigrans	t__SGB10204	no	NA	NA
10205	SGB10205	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Erwinia	s__Erwinia_sp_Leaf53	t__SGB10205	no	NA	NA
10206	SGB10206	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__bacteria_symbiont_BFo1_of_Frankliniella_occidentalis	t__SGB10206	no	NA	NA
10207	SGB10207	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Hafniaceae	g__Hafnia	s__Hafnia_paralvei	t__SGB10207	no	NA	NA
10208	SGB10208	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Hafniaceae	g__Obesumbacterium	s__Obesumbacterium_proteus	t__SGB10208	no	NA	NA
10209	SGB10209	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Hafniaceae	g__Hafnia	s__Hafnia_alvei	t__SGB10209	yes	Hafnia alvei	569
10210	SGB10210	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Hafniaceae	g__Hafnia	s__Hafnia_alvei	t__SGB10210	no	NA	NA
